title,dateTime
"Biden Admin Gender Policy Looks to Redefine ‘Woman,’ Deny Binary Sex",2022-09-23T11:08:27Z
"Biden Admin Gender Policy Looks to Redefine ‘Woman,’ Deny Binary Sex",2022-09-23T11:08:27Z
Senator Marsha Blackburn Calls for FDA Investigation on Use of Puberty Blockers on Minors,2022-09-23T09:06:59Z
Senator Marsha Blackburn Calls for FDA Investigation on Use of Puberty Blockers on Minors,2022-09-23T09:06:59Z
Democrat Kansas Gov. Laura Kelly Lies About Pro-Transgender Record Despite Past Vetoes ,2022-09-22T15:03:50Z
Democrat Kansas Gov. Laura Kelly Lies About Pro-Transgender Record Despite Past Vetoes ,2022-09-22T15:03:50Z
"Teachers’ Union Provides Ohio Teachers with Guide for ‘Anal Sex,’ ‘Bondage,’ ‘Fisting’",2022-09-22T15:03:44Z
"Teachers’ Union Provides Ohio Teachers with Guide for ‘Anal Sex,’ ‘Bondage,’ ‘Fisting’",2022-09-22T15:03:44Z
Maren Morris Doesn’t Feel ‘Comfortable’ Attending CMA Awards After Attacking Brittany Aldean,2022-09-22T08:24:04Z
Maren Morris Doesn’t Feel ‘Comfortable’ Attending CMA Awards After Attacking Brittany Aldean,2022-09-22T08:24:04Z
Exclusive — Larry Elder: ‘Uncle Tom II’ ‘Has the Potential to Change Race Relations’ in America,2022-09-22T08:21:36Z
Exclusive — Larry Elder: ‘Uncle Tom II’ ‘Has the Potential to Change Race Relations’ in America,2022-09-22T08:21:36Z
"Avoiding Malpractice Lawsuits: Transgender Health Group Admits Reason for Removing Age Minimums for Genital Mutilation, Chemical Castration",2022-09-20T15:08:58Z
"Avoiding Malpractice Lawsuits: Transgender Health Group Admits Reason for Removing Age Minimums for Genital Mutilation, Chemical Castration",2022-09-20T15:08:58Z
Democratic Senators Want to Let Teenagers Get Over-the-Counter Testosterone Shots,2022-09-20T12:36:06Z
Democratic Senators Want to Let Teenagers Get Over-the-Counter Testosterone Shots,2022-09-20T12:36:06Z
Ontario School Defends Male Teacher Wearing Gigantic Prosthetic Breasts to Class,2022-09-20T10:15:43Z
Ontario School Defends Male Teacher Wearing Gigantic Prosthetic Breasts to Class,2022-09-20T10:15:43Z
Gender Ideology: State Body Ordered Nurseries to Avoid Using ‘Sexist’ Male and Female Pronouns,2022-09-20T09:21:53Z
Gender Ideology: State Body Ordered Nurseries to Avoid Using ‘Sexist’ Male and Female Pronouns,2022-09-20T09:21:53Z
"Transgender Health Group Removes Minimum Age Guidance for Genital Mutilation, Chemical Castration",2022-09-19T20:00:52Z
"Transgender Health Group Removes Minimum Age Guidance for Genital Mutilation, Chemical Castration",2022-09-19T20:00:52Z
Atlantic Op-Ed Claims ‘Separating Sports by Sex Doesn’t Make Sense’,2022-09-19T07:03:37Z
Atlantic Op-Ed Claims ‘Separating Sports by Sex Doesn’t Make Sense’,2022-09-19T07:03:37Z
Youngkin Ditches Democrat School Transgender Policy with Parents’ Rights Overhaul,2022-09-16T17:29:20Z
Youngkin Ditches Democrat School Transgender Policy with Parents’ Rights Overhaul,2022-09-16T17:29:20Z
10-Year-Old Transgender Model Featured in New York Fashion Week,2022-09-15T13:20:10Z
10-Year-Old Transgender Model Featured in New York Fashion Week,2022-09-15T13:20:10Z
Leftist Media Outlet Labels Marco Rubio ‘Transphobic’ for Stating that Men Cannot Get Pregnant,2022-09-14T09:02:45Z
Leftist Media Outlet Labels Marco Rubio ‘Transphobic’ for Stating that Men Cannot Get Pregnant,2022-09-14T09:02:45Z
Ron DeSantis Blasts Woke Indoctrination of Children: Transgender Ideology ‘Not Based on Science’,2022-09-13T09:35:01Z
Ron DeSantis Blasts Woke Indoctrination of Children: Transgender Ideology ‘Not Based on Science’,2022-09-13T09:35:01Z
Boston Marathon Creates ‘Nonbinary’ Category for 2023 Race,2022-09-13T08:29:43Z
Boston Marathon Creates ‘Nonbinary’ Category for 2023 Race,2022-09-13T08:29:43Z
Biological Male Transgender Paedophile Sent to Female Prison in Woke England,2022-09-13T01:48:44Z
Biological Male Transgender Paedophile Sent to Female Prison in Woke England,2022-09-13T01:48:44Z
Federal Lawsuit Filed Against Wisconsin School District for ‘Encouraging Children to Transition’,2022-09-12T20:26:03Z
Federal Lawsuit Filed Against Wisconsin School District for ‘Encouraging Children to Transition’,2022-09-12T20:26:03Z
Montana Health Officials: Individuals Cannot Change Biological Sex on Birth Certificate,2022-09-12T15:44:11Z
Montana Health Officials: Individuals Cannot Change Biological Sex on Birth Certificate,2022-09-12T15:44:11Z
Boise Pride Fest Postpones ‘Drag Kids’ Performance Due to ‘Increased Safety Concerns’,2022-09-10T17:20:22Z
Boise Pride Fest Postpones ‘Drag Kids’ Performance Due to ‘Increased Safety Concerns’,2022-09-10T17:20:22Z
‘I Will Never Leave Mountjoy Prison’ – Man Who Refuses to Use Trans Student’s Pronouns Jailed,2022-09-09T05:45:37Z
‘I Will Never Leave Mountjoy Prison’ – Man Who Refuses to Use Trans Student’s Pronouns Jailed,2022-09-09T05:45:37Z
Zions Bank Retracts Sponsorship of Pride Event with Drag Kid Performances,2022-09-08T13:44:28Z
Zions Bank Retracts Sponsorship of Pride Event with Drag Kid Performances,2022-09-08T13:44:28Z
Australian Bishops Reject Gender Ideology in School Guide,2022-09-08T00:55:42Z
Australian Bishops Reject Gender Ideology in School Guide,2022-09-08T00:55:42Z
Miami-Based Surgeon Proudly Advertises Transgender Surgeries on TikTok,2022-09-07T14:16:00Z
Miami-Based Surgeon Proudly Advertises Transgender Surgeries on TikTok,2022-09-07T14:16:00Z
Not Enough LGBT Events? UK City to Introduce Another Pride March Just for Trans People,2022-09-07T04:43:42Z
Not Enough LGBT Events? UK City to Introduce Another Pride March Just for Trans People,2022-09-07T04:43:42Z
Lurie Children’s Hospital: Children ‘Never Too Young’ to Learn About Transitioning,2022-09-06T17:44:43Z
Lurie Children’s Hospital: Children ‘Never Too Young’ to Learn About Transitioning,2022-09-06T17:44:43Z
"CloudFlare Folds to Pressure from Transgender Activists, Blacklists Drama Site ‘Kiwi Farms’",2022-09-06T14:12:30Z
